Trans. Date,Post Date,Description,Amount,Category
07/17/2023,07/17/2023,"HONG KONG BANJUM PAIK'S SANTA CLARA CA",34.52,"Restaurants"
07/17/2023,07/17/2023,"SQ *DR.INK SAN JOSE CA0002305843018014040409",20.75,"Restaurants"
07/18/2023,07/18/2023,"DAISO BA12 SARATOGA SAN JOSE CA",49.25,"Merchandise"
07/18/2023,07/18/2023,"INTERNET PAYMENT - THANK YOU",-124.42,"Payments and Credits"
07/18/2023,07/18/2023,"MITSUWA MRKTPLACE SJ SAN JOSE CAAPPLE PAY ENDING IN 0155",7.38,"Supermarkets"
07/19/2023,07/19/2023,"STORY SUPERMARKET SSS SAN JOSE CA",51.36,"Supermarkets"
07/20/2023,07/20/2023,"85C BAKERY CAFE CONCORD CAAPPLE PAY ENDING IN 0155",5.10,"Merchandise"
07/20/2023,07/20/2023,"MCDONALD'S F6810 VALLEJO CA",6.56,"Restaurants"
07/20/2023,07/20/2023,"TST* NOKA RAMEN & BAR OAKLAND CA00100497012779346934AA",115.29,"Restaurants"
07/20/2023,07/20/2023,"UJI TIME CONCORD CAAPPLE PAY ENDING IN 0155",7.00,"Restaurants"
07/24/2023,07/24/2023,"INTERNET PAYMENT - THANK YOU",-352.71,"Payments and Credits"
07/26/2023,07/26/2023,"SQ *SHAKE SHACK LARKSPUR CAAPPLE PAY ENDING IN 01550001152921513012600213",12.87,"Restaurants"
07/31/2023,07/31/2023,"INTERNET PAYMENT - THANK YOU",-146.82,"Payments and Credits"
08/07/2023,08/07/2023,"CARDENAS MARKETS VALLEJO CAAPPLE PAY ENDING IN 0155",11.66,"Supermarkets"
08/07/2023,08/07/2023,"GLACIER WATER VENDING 3 TAMPA FL",2.60,"Restaurants"
08/07/2023,08/07/2023,"GLACIER WATER VENDING 3 TAMPA FL",2.60,"Restaurants"
08/11/2023,08/12/2023,"GEICO *AUTO 800-841-3000 DC6056575217000424562070",145.74,"Services"
08/11/2023,08/12/2023,"KING VALLEY TEA HOUSE PINOLE CA",47.74,"Restaurants"
08/11/2023,08/12/2023,"SHARE TEA VALLEJO CAAPPLE PAY ENDING IN 0155",5.95,"Restaurants"
08/12/2023,08/12/2023,"DOLLAR TREE VALLEJO CA",11.47,"Merchandise"
08/12/2023,08/12/2023,"TARGET 00003319091 VALLEJO CA",52.37,"Supermarkets"
08/13/2023,08/13/2023,"H MART - SAN JOSE SAN JOSE CAAPPLE PAY ENDING IN 0155",46.62,"Supermarkets"
08/13/2023,08/13/2023,"SQ *DR.INK SAN JOSE CAAPPLE PAY ENDING IN 01550001152921513074069099",6.25,"Restaurants"
08/14/2023,08/14/2023,"GONG CHA - SJSU SAN JOSE CAAPPLE PAY ENDING IN 0155",7.20,"Restaurants"
08/15/2023,08/15/2023,"TST* JSN TIGER II LLC SAN JOSE CAAPPLE PAY ENDING IN 015500001368013205938112AA",8.20,"Restaurants"
08/16/2023,08/16/2023,"7-ELEVEN 17496 SAN JOSE CA",21.97,"Gasoline"
08/21/2023,08/21/2023,"LION MARKET STORY SAN JOSE CA",22.72,"Supermarkets"
08/22/2023,08/22/2023,"PARKMOBILE 770-818-9036 GAAPPLE PAY ENDING IN 0155733832767",7.00,"Services"
08/23/2023,08/23/2023,"CHE PANDA EXPR CAFE SAN JOSE CAAPPLE PAY ENDING IN 0155",11.05,"Restaurants"
08/24/2023,08/24/2023,"CHE IN THE MIX CAFE SAN JOSE CAAPPLE PAY ENDING IN 0155",8.19,"Restaurants"
08/24/2023,08/24/2023,"SQ *NIRVANA SOUL SAN JOSE CAAPPLE PAY ENDING IN 01550001152921513114054872",14.14,"Restaurants"
08/25/2023,08/25/2023,"ASIAN LIVE SEAFOOD SAN JOSE CA",24.54,"Supermarkets"
08/25/2023,08/25/2023,"LION SUPER SAN JOSE CA",43.57,"Supermarkets"
08/25/2023,08/25/2023,"SQ *UME TEA MILPITAS MILPITAS CAAPPLE PAY ENDING IN 01550001152921513118621078",18.44,"Restaurants"
08/26/2023,08/26/2023,"DOLLAR TREE VALLEJO CA",10.79,"Merchandise"
08/27/2023,08/27/2023,"VALLEJO GROCERY OUTLET VALLEJO CA",15.70,"Supermarkets"
08/30/2023,08/30/2023,"CHE BRICKS CAFE SAN JOSE CAAPPLE PAY ENDING IN 0155",6.65,"Restaurants"
08/31/2023,08/31/2023,"EDFINITY.COM 6502546291 CA",35.00,"Merchandise"
08/31/2023,08/31/2023,"PARKMOBILE 770-818-9036 GAAPPLE PAY ENDING IN 0155737862633",5.00,"Services"
09/01/2023,09/01/2023,"PARKMOBILE 770-818-9036 GAAPPLE PAY ENDING IN 0155738334515",4.00,"Services"
09/02/2023,09/02/2023,"INTERNET PAYMENT - THANK YOU",-597.16,"Payments and Credits"
09/07/2023,09/07/2023,"PANERA BREAD #204476 K CAMPBELL CA00768R",22.84,"Restaurants"
09/08/2023,09/08/2023,"H MART - SAN JOSE SAN JOSE CAAPPLE PAY ENDING IN 0155",21.58,"Supermarkets"
09/08/2023,09/08/2023,"SQ *BBQ TOWNS SAN JOSE CAAPPLE PAY ENDING IN 01550001152921513169394702",12.02,"Restaurants"
09/09/2023,09/09/2023,"TST* JAMBA JUICE - 0436 SAN JOSE CAAPPLE PAY ENDING IN 0155",8.00,"Restaurants"
09/11/2023,09/12/2023,"GEICO *AUTO 800-841-3000 DC6056575217000440815262",144.93,"Services"
09/12/2023,09/12/2023,"CHE BRICKS CAFE SAN JOSE CAAPPLE PAY ENDING IN 0155",2.83,"Restaurants"
09/12/2023,09/12/2023,"SQ *LA LUNE SUCREE SAN JOSE CAAPPLE PAY ENDING IN 01550001152921513183180805",12.44,"Merchandise"
09/14/2023,09/14/2023,"DD DOORDASH JACKINTHE 855-973-1040 CAAPPLE PAY ENDING IN 0155",15.73,"Restaurants"
09/14/2023,09/14/2023,"SQ *NIRVANA SOUL SAN JOSE CAAPPLE PAY ENDING IN 01550001152921513191012893",18.87,"Restaurants"
09/14/2023,09/14/2023,"TST* TASTEA - VIETNAM SAN JOSE CAAPPLE PAY ENDING IN 015500112975013670199552AA",18.26,"Restaurants"
09/15/2023,09/15/2023,"IN-N-OUT TULLY SAN JOSE CAAPPLE PAY ENDING IN 015501544R",5.09,"Restaurants"
09/15/2023,09/15/2023,"LION SUPER SAN JOSE CA",45.12,"Supermarkets"
09/15/2023,09/15/2023,"PARKMOBILE 770-818-9036 GAAPPLE PAY ENDING IN 0155743858704",8.00,"Services"
09/15/2023,09/15/2023,"TISANE SAN JOSE CAAPPLE PAY ENDING IN 0155",8.12,"Restaurants"
09/17/2023,09/17/2023,"MICHAELS STORES 1675 VALLEJO CAAPPLE PAY ENDING IN 01551675000476352309171255",2.17,"Merchandise"
09/17/2023,09/17/2023,"PAYPAL *SKILLSCAN 888-221-1161 CA",11.95,"Education"
09/18/2023,09/18/2023,"CHE BRICKS CAFE SAN JOSE CAAPPLE PAY ENDING IN 0155",16.65,"Restaurants"
09/19/2023,09/19/2023,"WEPA CAMPUS PRINTING PELHAM ALAPPLE PAY ENDING IN 0155",5.20,"Services"
09/20/2023,09/20/2023,"DD DOORDASH WINGSTOP 855-973-1040 CAAPPLE PAY ENDING IN 0155",22.38,"Restaurants"
09/20/2023,09/20/2023,"LION MARKET STORY SAN JOSE CA",23.32,"Supermarkets"
09/20/2023,09/20/2023,"WALMART SC 05435 SAN JOSE CA",9.06,"Merchandise"
09/23/2023,09/23/2023,"STARBUCKS STORE 23597 SAN JOSE CAAPPLE PAY ENDING IN 0155C24EEA52CD32682233",3.95,"Restaurants"
09/23/2023,09/23/2023,"WALMART SC 05435 SAN JOSE CA",7.48,"Merchandise"
09/24/2023,09/24/2023,"DAISO BA12 SARATOGA SAN JOSE CA",13.48,"Merchandise"
09/24/2023,09/24/2023,"SQ *FUGETSU SAN JOSE SAN JOSE CAAPPLE PAY ENDING IN 01550001152921513226690220",10.94,"Restaurants"
09/25/2023,09/25/2023,"CHE BRICKS CAFE SAN JOSE CAAPPLE PAY ENDING IN 0155",3.54,"Restaurants"
09/25/2023,09/25/2023,"TST* TASTEA - VIETNAM SAN JOSE CA00112975013866836468AA",7.75,"Restaurants"
09/25/2023,09/25/2023,"WALMART SC 05435 SAN JOSE CA",5.78,"Merchandise"
09/26/2023,09/26/2023,"7-ELEVEN 14256 SAN JOSE CAAPPLE PAY ENDING IN 0155",7.67,"Gasoline"
09/26/2023,09/26/2023,"CHE BRICKS CAFE SAN JOSE CAAPPLE PAY ENDING IN 0155",3.54,"Restaurants"
09/27/2023,09/27/2023,"EZ CONTACTS 888-267-5367 NJ",251.85,"Merchandise"
09/28/2023,09/28/2023,"DD DOORDASH TACOBELL 855-973-1040 CAAPPLE PAY ENDING IN 0155",16.04,"Restaurants"
09/28/2023,09/28/2023,"H MART - SAN JOSE SAN JOSE CAAPPLE PAY ENDING IN 0155",32.60,"Supermarkets"
09/28/2023,09/28/2023,"SQ *BBQ TOWNS SAN JOSE CAAPPLE PAY ENDING IN 01550001152921513237111435",9.83,"Restaurants"
09/29/2023,09/29/2023,"KINGSTONE LLC RICHMOND CAAPPLE PAY ENDING IN 0155",10.96,"Merchandise"
09/29/2023,09/29/2023,"LION SUPER SAN JOSE CA",21.62,"Supermarkets"
09/29/2023,09/29/2023,"WALGREENS #3171 VALLEJO CA",6.98,"Merchandise"
09/30/2023,09/30/2023,"INTERNET PAYMENT - THANK YOU",-776.41,"Payments and Credits"
10/06/2023,10/06/2023,"INTERNET PAYMENT - THANK YOU",-72.16,"Payments and Credits"
10/07/2023,10/07/2023,"BEVERAGES & MORE #07 SANTA CLARA CAAPPLE PAY ENDING IN 0155",4.88,"Merchandise"
10/07/2023,10/07/2023,"N7 DRAFT TEA PLUS COFFEE SAN JOSE CAAPPLE PAY ENDING IN 0155",8.79,"Restaurants"
10/08/2023,10/08/2023,"BATTAMBANG ORIENTAL GROC SAN JOSE CA",10.00,"Supermarkets"
10/08/2023,10/08/2023,"DOWNTOWN SAN JOSE GROC SAN JOSE CA",18.10,"Supermarkets"
10/08/2023,10/08/2023,"H MART - SAN JOSE SAN JOSE CAAPPLE PAY ENDING IN 0155",13.59,"Supermarkets"
10/11/2023,10/12/2023,"CHE BRICKS CAFE SAN JOSE CAAPPLE PAY ENDING IN 0155",6.02,"Restaurants"
10/11/2023,10/12/2023,"GEICO *AUTO 800-841-3000 DC6056575217000457177769",144.93,"Services"
10/12/2023,10/12/2023,"DD DOORDASH CONSABORA 855-973-1040 CAAPPLE PAY ENDING IN 0155",22.00,"Restaurants"
10/13/2023,10/13/2023,"DD DOORDASH 7-ELEVEN 855-973-1040 CAAPPLE PAY ENDING IN 0155",14.50,"Restaurants"
10/14/2023,10/14/2023,"DD DOORDASH 7-ELEVEN 855-973-1040 CAAPPLE PAY ENDING IN 0155",18.82,"Restaurants"
10/15/2023,10/15/2023,"PORTOS BAKERY BUENA PK O 818-846-3586 CA",45.43,"Restaurants"
10/16/2023,10/16/2023,"CHE BRICKS CAFE SAN JOSE CAAPPLE PAY ENDING IN 0155",3.54,"Restaurants"
10/16/2023,10/16/2023,"MAXIM MARKET III SSS SAN JOSE CAAPPLE PAY ENDING IN 0155",19.63,"Supermarkets"
10/16/2023,10/16/2023,"TST* TASTEA - VIETNAM SAN JOSE CAAPPLE PAY ENDING IN 015500112975014204014069AA",6.55,"Restaurants"
10/16/2023,10/16/2023,"WALMART SC 05435 SAN JOSE CA",19.43,"Merchandise"
10/18/2023,10/18/2023,"DD DOORDASH TACOBELL 855-973-1040 CAAPPLE PAY ENDING IN 0155",18.83,"Restaurants"
10/19/2023,10/19/2023,"CHE BRICKS CAFE SAN JOSE CAAPPLE PAY ENDING IN 0155",3.87,"Restaurants"
10/20/2023,10/20/2023,"TST* TASTEA - VIETNAM TO SAN JOSE CAAPPLE PAY ENDING IN 0155",17.40,"Restaurants"
10/24/2023,10/24/2023,"SQ *PHILZ COFFEE SAN JOSE CAAPPLE PAY ENDING IN 01550001152921513335381070",5.30,"Restaurants"
10/25/2023,10/25/2023,"CHE BRICKS CAFE SAN JOSE CAAPPLE PAY ENDING IN 0155",20.22,"Restaurants"
10/28/2023,10/28/2023,"DINTAIFUNG VALLEYFAIR6 2122600895 CAAPPLE PAY ENDING IN 0155",29.53,"Restaurants"
10/28/2023,10/28/2023,"HUI LAU SHAN SANTA CLARA CAAPPLE PAY ENDING IN 0155",7.54,"Restaurants"
10/29/2023,10/29/2023,"DD DOORDASH 7-ELEVEN 855-973-1040 CAAPPLE PAY ENDING IN 0155",13.96,"Restaurants"
10/29/2023,10/29/2023,"DD DOORDASH POPEYESLO 855-973-1040 CAAPPLE PAY ENDING IN 0155",20.98,"Restaurants"
10/29/2023,10/29/2023,"H MART - SAN JOSE SAN JOSE CAAPPLE PAY ENDING IN 0155",19.16,"Supermarkets"
10/29/2023,10/29/2023,"SQ *BBQ TOWNS SAN JOSE CAAPPLE PAY ENDING IN 01550001152921513354192542",6.55,"Restaurants"
10/29/2023,10/29/2023,"TARGET 00020883091 SAN JOSE CA",5.77,"Supermarkets"
10/30/2023,10/30/2023,"CHE BRICKS CAFE SAN JOSE CAAPPLE PAY ENDING IN 0155",2.83,"Restaurants"
11/01/2023,11/01/2023,"INTERNET PAYMENT - THANK YOU",-500.39,"Payments and Credits"
11/03/2023,11/03/2023,"INTERNET PAYMENT - THANK YOU",-27.76,"Payments and Credits"
11/03/2023,11/03/2023,"SHABU TIME SAN JOSE CA",70.44,"Restaurants"
11/05/2023,11/05/2023,"HONG KONG BANJUM PAIK'S SANTA CLARA CAAPPLE PAY ENDING IN 0155",54.41,"Restaurants"
11/07/2023,11/07/2023,"TST* B PASTRY SANTA CLARA CAAPPLE PAY ENDING IN 0155",21.20,"Merchandise"
11/09/2023,11/09/2023,"PARKMOBILE 770-818-9036 GAAPPLE PAY ENDING IN 0155766448082",4.00,"Services"
11/10/2023,11/12/2023,"DD DOORDASH JACKINTHE 855-973-1040 CAAPPLE PAY ENDING IN 0155",22.90,"Restaurants"
11/10/2023,11/12/2023,"DUNKIN #363227 SAN JOSE CAAPPLE PAY ENDING IN 0155",11.35,"Restaurants"
11/11/2023,11/12/2023,"99 CENTS ONLY STORES #41 VALLEJO CA",6.12,"Supermarkets"
11/11/2023,11/12/2023,"GEICO *AUTO 800-841-3000 DC6056575217000473132728",144.93,"Services"
11/11/2023,11/12/2023,"WALMART SC 05609 VALLEJO CA",7.06,"Merchandise"
11/11/2023,11/12/2023,"WHEEL WORKS 462462 VALLEJO CA01133R",35.66,"Automotive"
11/12/2023,11/12/2023,"DD DOORDASH LLHAWAIIA 855-973-1040 CAAPPLE PAY ENDING IN 0155",15.00,"Restaurants"
11/13/2023,11/13/2023,"7-ELEVEN 16889 SAN JOSE CAAPPLE PAY ENDING IN 0155",3.05,"Gasoline"
11/13/2023,11/13/2023,"TST* B PASTRY SANTA CLARA CAAPPLE PAY ENDING IN 015500112218014652851495AA",20.35,"Merchandise"
11/14/2023,11/14/2023,"L & L HAWAIIAN BBQ #187 SAN JOSE CAAPPLE PAY ENDING IN 0155",10.88,"Restaurants"
11/16/2023,11/16/2023,"PARKMOBILE 770-818-9036 GAAPPLE PAY ENDING IN 0155769156117",6.00,"Services"
11/16/2023,11/16/2023,"SQ *LA LUNE SUCREE SAN JOSE CAAPPLE PAY ENDING IN 01550001152921513410470482",6.20,"Merchandise"
11/16/2023,11/16/2023,"TST* TASTEA - VIETNAM SAN JOSE CAAPPLE PAY ENDING IN 015500112975014693953125AA",16.96,"Restaurants"
11/17/2023,11/17/2023,"NIJIYA MARKET #64 SAN JOSE CAAPPLE PAY ENDING IN 0155",20.22,"Supermarkets"
11/18/2023,11/18/2023,"DUTCH BROS CA0602 STOCKT STOCKTON CA",14.45,"Restaurants"
11/19/2023,11/19/2023,"SAFEWAY #2776 SAN JOSE CA",30.11,"Supermarkets"
11/20/2023,11/20/2023,"CHE BRICKS CAFE SAN JOSE CAAPPLE PAY ENDING IN 0155",3.87,"Restaurants"
11/21/2023,11/21/2023,"DAISO BA12 SARATOGA SAN JOSE CA",5.47,"Merchandise"
11/21/2023,11/21/2023,"N7 DRAFT TEA & COFFEE SAN JOSE CAAPPLE PAY ENDING IN 0155",6.50,"Restaurants"
11/21/2023,11/21/2023,"WALMART SC 02486 SAN JOSE CA",13.55,"Merchandise"
11/24/2023,11/24/2023,"SHARE TEA VALLEJO CAAPPLE PAY ENDING IN 0155",4.65,"Restaurants"
11/26/2023,11/26/2023,"DD DOORDASH SUBWAY 855-973-1040 CAAPPLE PAY ENDING IN 0155",14.41,"Restaurants"
11/26/2023,11/26/2023,"ZERO& TEA AND BOBA 4157075663 CA",7.10,"Restaurants"
11/27/2023,11/27/2023,"WALMART.COM 800-966-6546 AR",124.08,"Merchandise"
11/28/2023,11/28/2023,"INTERNET PAYMENT - THANK YOU",-576.84,"Payments and Credits"
11/28/2023,11/28/2023,"KLARNA 8445527621 OHAPPLE PAY ENDING IN 0155",27.88,"Merchandise"
12/04/2023,12/04/2023,"INTERNET PAYMENT - THANK YOU",-151.96,"Payments and Credits"
12/05/2023,12/05/2023,"MAXIM MARKET III SSS SAN JOSE CA",13.78,"Supermarkets"
12/05/2023,12/05/2023,"WALMART STORE 05435 SAN JOSE CA",13.10,"Merchandise"
12/08/2023,12/08/2023,"AMZN MKTP US*TK4JV4QB3 AMZN.COM/BILLWARD81BEFHRH0",62.87,"Merchandise"
12/09/2023,12/09/2023,"DD DOORDASH 7LEAVESCA 855-973-1040 CAAPPLE PAY ENDING IN 0155",17.14,"Restaurants"
12/09/2023,12/09/2023,"DISH N DASH - MILPITAS MILPITAS CAAPPLE PAY ENDING IN 0155",19.41,"Restaurants"
12/09/2023,12/09/2023,"SQ *PHIN CAFE - BLOSSO SAN JOSE CAAPPLE PAY ENDING IN 01550001152921513484784545",6.90,"Restaurants"
12/10/2023,12/10/2023,"TARGET 00014266091 SAN JOSE CAAPPLE PAY ENDING IN 0155",30.89,"Supermarkets"
12/10/2023,12/12/2023,"ROSS STORES #175 SAN JOSE CAAPPLE PAY ENDING IN 0155",21.86,"Merchandise"
12/11/2023,12/12/2023,"DD DOORDASH PHOKIMLON 855-973-1040 CAAPPLE PAY ENDING IN 0155",20.63,"Restaurants"
12/11/2023,12/12/2023,"GEICO *AUTO 800-841-3000 DC6056575217000488938927",144.93,"Services"
12/11/2023,12/12/2023,"WALMART STORE 05435 SAN JOSE CA",0.50,"Merchandise"
12/12/2023,12/12/2023,"CARDENAS MARKETS VALLEJO CACASHOVER $ 2.00 PURCHASES $ 3.19APPLE PAY ENDING IN 0155",5.19,"Supermarkets"
12/12/2023,12/12/2023,"DOLLAR TREE VALLEJO CAAPPLE PAY ENDING IN 0155",2.73,"Merchandise"
12/12/2023,12/12/2023,"GLACIER WATER VENDING 3 TAMPA FLAPPLE PAY ENDING IN 0155",2.60,"Restaurants"
12/12/2023,12/12/2023,"GLACIER WATER VENDING 3 TAMPA FLAPPLE PAY ENDING IN 0155",2.60,"Restaurants"
12/13/2023,12/13/2023,"FEDEX OFFIC00054957069 VALLEJO CA",0.80,"Services"
12/13/2023,12/13/2023,"KLARNA 8445527621 OHAPPLE PAY ENDING IN 0155",26.83,"Merchandise"
12/14/2023,12/14/2023,"TACO BELL 041371 VALLEJO CAAPPLE PAY ENDING IN 0155",5.96,"Restaurants"
12/15/2023,12/15/2023,"BAMBU SAN JOSE CAAPPLE PAY ENDING IN 0155",15.00,"Restaurants"
12/15/2023,12/15/2023,"DD DOORDASH JOLLIBEE 855-973-1040 CAAPPLE PAY ENDING IN 0155",34.87,"Restaurants"
12/16/2023,12/16/2023,"DD DOORDASH CHICK-FIL 855-973-1040 CAAPPLE PAY ENDING IN 0155",22.96,"Restaurants"
12/16/2023,12/16/2023,"TACOS JALISCO INC VALLEJO CA",43.21,"Restaurants"
12/17/2023,12/17/2023,"SQ *MATCHA CAFE MAIKO SANTA CLARA CAAPPLE PAY ENDING IN 01550001152921513510768120",7.22,"Restaurants"
12/18/2023,12/18/2023,"COMBO EXPRESS VALLEJO CA",11.59,"Restaurants"
12/18/2023,12/18/2023,"DOLLAR TREE VALLEJO CA",9.76,"Merchandise"
12/19/2023,12/19/2023,"DUTCH BROS CA0104 MARTIN MARTINEZ CA",9.51,"Restaurants"
12/19/2023,12/19/2023,"FASTRAK CSC 415-486-8655 CA",30.00,"Travel/ Entertainment"
12/19/2023,12/19/2023,"INTERNET PAYMENT - THANK YOU",-341.96,"Payments and Credits"
12/19/2023,12/19/2023,"UNIQLO USA LLC NEW YORK NY",87.79,"Merchandise"
12/20/2023,12/20/2023,"FASTRAK CSC 415-486-8655 CA",40.00,"Travel/ Entertainment"
12/21/2023,12/21/2023,"TEMU.COM 302-480-6118 MAAPPLE PAY ENDING IN 0155",20.60,"Department Stores"
12/22/2023,12/22/2023,"TARGET 00003319091 VALLEJO CAAPPLE PAY ENDING IN 0155",13.25,"Supermarkets"
12/24/2023,12/24/2023,"DD DOORDASH FIREWINGS 855-973-1040 CAAPPLE PAY ENDING IN 0155",21.59,"Restaurants"
12/25/2023,12/25/2023,"SAFEWAY #0989 VALLEJO CAAPPLE PAY ENDING IN 0155",25.79,"Supermarkets"
12/26/2023,12/26/2023,"CASA CARMEL CORN MONTEREY CAAPPLE PAY ENDING IN 0155",15.49,"Merchandise"
12/27/2023,12/27/2023,"AMZN MKTP US*R20H758V3 AMZN.COM/BILLWA4PU2WTSJVA5",34.41,"Merchandise"
12/27/2023,12/27/2023,"KLARNA 8445527621 OHAPPLE PAY ENDING IN 0155",20.62,"Merchandise"
12/30/2023,12/30/2023,"INTERNET PAYMENT - THANK YOU",-520.42,"Payments and Credits"
01/04/2024,01/04/2024,"TARGET 00003319091 VALLEJO CA",5.96,"Supermarkets"
01/06/2024,01/06/2024,"DD DOORDASH IKESLOVES 855-973-1040 CAAPPLE PAY ENDING IN 0155",14.92,"Restaurants"
01/08/2024,01/08/2024,"MAXIM MARKET III SSS SAN JOSE CAAPPLE PAY ENDING IN 0155",12.33,"Supermarkets"
01/08/2024,01/08/2024,"SQ *PHIN CAFE - FREMON FREMONT CAAPPLE PAY ENDING IN 01550001152921513569255923",7.40,"Restaurants"
01/08/2024,01/08/2024,"UDEMY: ONLINE COURSES 8888385432 CA",14.99,"Education"
01/09/2024,01/09/2024,"99 RANCH #1761 SAN JOSE CA",14.61,"Supermarkets"
01/09/2024,01/09/2024,"SQ *GREAT VAPE SAN JOSE CA0001152921513571981707",36.55,"Merchandise"
01/09/2024,01/09/2024,"TST* TEASPOON - HOSTETTE SAN JOSE CA",6.00,"Restaurants"
01/10/2024,01/10/2024,"KLARNA 8445527621 OHAPPLE PAY ENDING IN 0155",20.63,"Merchandise"
01/10/2024,01/10/2024,"WALMART SC 05435 SAN JOSE CA",34.26,"Merchandise"
01/10/2024,01/12/2024,"DAISO BA12 SARATOGA SAN JOSE CA",19.63,"Merchandise"
01/11/2024,01/12/2024,"GEICO *AUTO 800-841-3000 DC6056575217000504962698",144.92,"Services"
01/11/2024,01/12/2024,"GREEN PAPAYA STREET FOOD STOCKTON CAAPPLE PAY ENDING IN 0155",21.71,"Restaurants"
01/14/2024,01/14/2024,"JUNENOV TEA (PLEASANT HI PLEASANT HILLCAAPPLE PAY ENDING IN 0155",27.16,"Restaurants"
01/19/2024,01/19/2024,"TARGET 00003319091 VALLEJO CA",29.32,"Supermarkets"
01/20/2024,01/20/2024,"DAVES HOT CHICKEN 1077 SAN JOSE CAAPPLE PAY ENDING IN 7043",16.30,"Restaurants"
01/20/2024,01/20/2024,"MAXIM MARKET III SSS SAN JOSE CA",17.77,"Supermarkets"
01/20/2024,01/20/2024,"SQ *COFFEE & WATER LAB SAN JOSE CAAPPLE PAY ENDING IN 70430001152921513603771439",17.35,"Restaurants"
01/22/2024,01/22/2024,"24 HOUR FITNESS SAN RAMON CA",1.00,"Travel/ Entertainment"
01/23/2024,01/23/2024,"WALMART STORE 05435 SAN JOSE CA",27.54,"Merchandise"
01/26/2024,01/26/2024,"99 RANCH #1761 SAN JOSE CA",20.89,"Supermarkets"
01/26/2024,01/26/2024,"GLACIER WATER VENDING TAMPA FLAPPLE PAY ENDING IN 7043",2.60,"Restaurants"
